Study,Sample_ID,Group,Cohort,spleen_mg,wounding,USM_pref,OF_cross_10m,OF_movement_10m,SI_5m,SI_10m,Blood_WBCs,Blood_mono,Blood_NPs,Blood_T,Blood_B,PFC,striatum,hippo,Brain_avg,Men_total,Men_parenchymal,Men_abluminal,Men_nonvascular,Men_vascular,par_TomLn,par_TomLp,ab_TomLn,ab_TomLp,nv_TomLn,nv_TomLp
NP-9,1,HC,1,86,1,58.98,55,21.18,1.74,1.95,98.58,0.48,5.13,20.5,61.79,3.64,5.04,3.69,4.1,5.14,0.98,0.63,1.61,3.53,0.711095831,0.273498396,0.410247595,0.218798717,1.121343426,0.492297113
NP-9,12,HC,1,93,1,15.09,40,19.6,1.37,1.41,99.15,0.84,7.88,21.97,57.06,3.39,4.85,5.09,4.4,4.793906199,1.068705204,1.282446244,2.351151448,2.442754751,,,,,,
NP-9,13,HC,1,82.1,1,64.84,48,22.1,1.46,1.1,97.04,0.64,11.74,20.79,48.19,2.1,2.32,2.28,2.2,4.135631519,0.799707752,1.142439646,1.942147398,2.19348412,,,,,,
NP-9,15,HC,1,90.1,1,45.6,44,19.07,1.7,0.88,98.49,1.33,9.14,17.05,49.57,7.76,6.94,7.38,7.4,9.593167544,1.335131565,1.087884979,2.423016545,7.170150999,,,,,,
NP-9,5,HC,2,85,1,0,53,17.99,0.86,0.76,99.09,1.38,17.11,19.94,47.07,,,,,2.78,0.12,0.27,0.39,2.39,0.119241712,0,0.178862568,0.089431284,0.29810428,0.089431284
NP-9,6,HC,2,75,1,0,50,15.83,1.46,1.65,98.87,0.33,8.99,21.84,55.94,3.54,4.23,2.66,3.5,4.15,0.74,0.64,1.38,2.77,0.689609513,0.045973968,0.574674594,0.068960951,1.264284107,0.114934919
NP-9,25,HC,4,89.4,1,19,50,22.93,,,99.58,2.22,11.24,50.3,12.06,,,,,,,,,,,,,,,
NP-9,26,HC,4,67.1,1,28.29,22,14.97,,,99.64,2.31,0.21,59.36,0.81,3.17,3.31,2.58,3,6.76,0.54,0.35,0.89,5.87,0.519983516,0.02166598,0.346655677,0,0.866639193,0.02166598
NP-9,27,HC,4,67.5,1,0,41,26.46,1.34,2.28,99.47,0.55,6.88,56.86,7.92,,,,,2.902709434,0.623722688,1.031541369,1.655264057,1.247445377,,,,,,
NP-9,28,HC,4,69.2,1,95.24,55,21.43,1.31,1.14,99.58,0.55,8.47,52.84,9.21,3.84,4.32,4.3,4.2,3.82558907,1.010127451,1.096095745,2.106223196,1.719365874,,,,,,
NP-9,29,HC,5,83.1,1,100,36,18.68,,,99.28,1.38,9.08,17.91,60.93,4.85,4.18,3.07,4,1.85,0.53,0.46,0.99,0.86,0.43522475,0.096716611,0.338508139,0.120895764,0.773732889,0.217612375
NP-9,34,HC,5,86.8,1,89.15,23,14.34,,,,,,,,3.53,3.43,2.67,3.2,2.95,0.38,0.38,0.76,2.19,0.29170651,0.087511953,0.350047812,0.029170651,0.641754322,0.116682604
NP-9,39,HC,6,91.2,1,0,36,25.64,1.65,1.16,97.9,0.59,5.22,22.98,53.73,,,,,6.37,0.43,0.8,1.23,5.14,0.386257662,0.048282208,0.627668701,0.168987727,1.013926363,0.217269935
NP-9,42,HC,6,84.8,1,0,47,19.41,1.37,1.11,96.96,0.49,10.26,22.89,53.47,,,,,2.35,0.25,0.28,0.53,1.82,0.20847438,0.037904433,0.20847438,0.075808865,0.41694876,0.113713298
NP-9,2,CSD,1,107,4,0,27,14.65,2.22,2.12,98.98,0.63,21.7,15.34,52.76,4.34,4.84,7.66,5.6,8.08,1.61,0.73,2.35,5.73,1.442633569,0.171159915,0.635736827,0.097805666,2.078370396,0.268965581
NP-9,4,CSD,1,94,2,27.01,31,18.45,1.72,1.38,95.45,5.92,45.05,14.23,24.38,11.79,13.49,15.61,13.6,15.0573894,5.004991405,3.774951144,8.779942549,6.277446847,,,,,,
NP-9,7,CSD,1,96,2,0,25,15.36,1.84,1.97,97.94,0.59,10.84,24.9,49.99,6.54,7.48,2.24,5.4,8.677508825,2.068632135,2.122362839,4.190994974,4.48651385,,,,,,
NP-9,14,CSD,1,90,1,0,41,20.48,1.92,2.15,97.75,0.34,7.53,26.32,55.31,,,,,6.09,0.92,0.76,1.68,4.41,0.702682221,0.216209914,0.540524785,0.216209914,1.243207006,0.432419828
NP-9,16,CSD,1,116,3,0,41,18.29,1.62,1.4,99.2,3.76,59.23,9.34,20.69,11.19,12.47,10.99,11.5,17.19327508,1.424857051,1.583174501,3.008031551,14.18524353,,,,,,
NP-9,30,CSD,5,85.6,3,28.11,35,17.1,,,99.48,2.58,19.2,13.38,56.4,16.01,19.9,20.3,18.7,6.507271848,0.46,0.32,0.78,5.727271848,0.278883079,0.185922053,0.278883079,0.037184411,0.557766158,0.223106464
NP-9,31,CSD,5,78.5,4,0,18,16.11,,,99.41,6.12,35.3,12.47,40.07,9.36,8.28,6.56,8.1,3.08,0.46,0.54,0.99,2.09,0.344130171,0.114710057,0.420603543,0.114710057,0.764733714,0.229420114
NP-9,33,CSD,5,81.3,2,0,25,15.37,,,99.67,8.65,60.1,6.37,19.58,3.85,5.14,4.15,4.4,4.332472686,0.598565305,0.627068415,1.22563372,3.106838966,,,,,,
NP-9,35,CSD,5,105.8,5,0,23,16.25,,,99.46,3.84,51.43,11.68,26.17,13.77,13.31,11.5,12.9,5.5,1.02,0.89,1.9,3.6,0.778570977,0.237896688,0.670436119,0.216269716,1.449007096,0.454166404
NP-9,36,CSD,5,63.3,3,0,24,16.83,,,99.49,1.56,20.25,20.43,47.93,1.82,2.78,2.09,2.2,3.125575688,0.685057685,0.64224158,1.327299265,1.798276424,,,,,,
NP-9,38,CSD,5,72.5,8,0,16,11.17,,,99.71,10.96,68.14,6.42,8.54,8.17,7.84,,8,4.33450683,0.797894292,0.884153134,1.682047426,2.652459403,,,,,,
NP-9,44,CSD,6,128.4,7,0,34,20.88,1.51,1.55,98.19,5.48,53.81,8.66,22.25,,,,,4.62,0.46,0.58,1.04,3.58,0.244918433,0.214303629,0.36737765,0.214303629,0.612296083,0.428607258